Key,Korean(ko),English(en),Japanese(ja),Chinese (Simplified)(zh),French(fr),Hindi(hi),Russian(ru),German(de)
Sg1_1,괜찮아. 누구나 실수할 수 있는 거야.,It's okay. Anyone can make mistakes.,大丈夫。誰でも間違いを犯すことがある。,没关系，谁都会犯错。,Ce n'est pas grave. Tout le monde peut faire des erreurs.,"कोई बात नहीं, ग़लतियाँ तो कोई भी कर सकता है।",Ничего страшного. Каждый может ошибаться.,Es ist okay. Jeder kann Fehler machen.
Sg1_2,"방금 있었던 일이 왜 위험했는지, 같이 살펴보자!",Let's take a look together at why what just happened was dangerous!,今起こった出来事がなぜ危険だったのか、一緒に考えてみましょう。,让我们一起看看刚刚发生的事情为什么是危险的！,Voyons ensemble pourquoi ce qui vient de se passer était dangereux !,आइये हम सब मिलकर देखें कि जो कुछ हुआ वह खतरनाक क्यों था!,"Давайте вместе разберемся, почему произошедшее было опасным!","Lassen Sie uns gemeinsam einen Blick darauf werfen, warum das, was gerade passiert ist, gefährlich war!"
Sg1_3,"방금 행동이 위험했던 건, 네가 노란선을 지나쳤기 때문이야.",The reason your actions were dangerous just now was because you crossed the yellow line.,今のあなたの行動が危険だったのは、黄色い線を越えたからです。,你刚才的行为之所以危险，是因为你越过了黄线。,La raison pour laquelle vos actions étaient dangereuses à l’instant était que vous aviez franchi la ligne jaune.,अभी आपकी गतिविधियां खतरनाक इसलिए थीं क्योंकि आपने पीली रेखा पार कर ली थी।,"Причина, по которой ваши действия были опасными, заключалась в том, что вы пересекли желтую линию.","Der Grund, warum Ihr Handeln gerade gefährlich war, lag darin, dass Sie die gelbe Linie überquert haben."
Sg1_4,그 선은 멈추라는 표시야. 무시하면 진짜 큰 사고로 이어질 수도 있어.,That line is a stop sign. Ignoring it could lead to a really big accident.,あの線は一時停止の標識です。無視すると大きな事故につながる可能性があります。,那条线是停车标志。忽视它可能会导致严重的事故。,Cette ligne est un panneau stop. L'ignorer pourrait entraîner un grave accident.,यह लाइन एक स्टॉप साइन है। इसे नज़रअंदाज़ करने से बहुत बड़ी दुर्घटना हो सकती है।,Эта линия — знак «стоп». Игнорирование ее может привести к очень большой аварии.,Diese Linie ist ein Stoppschild. Das Ignorieren dieser Linie kann zu einem schweren Unfall führen.
Sg1_5,"안전선이 있는 이유는,운전자들이 우리를 더 쉽게 볼 수 있도록 하기 위해서야.",The reason there are safety lines is to make it easier for drivers to see us.,安全線があるのは、ドライバーが私たちをより見やすくするためです。,设置安全线是为了方便司机看到我们。,La raison pour laquelle il y a des lignes de sécurité est de permettre aux conducteurs de nous voir plus facilement.,सुरक्षा रेखाएं इसलिए बनाई गई हैं ताकि वाहन चालकों को हमें देखने में आसानी हो।,"Причина установки линий безопасности в том, что водителям легче нас заметить.","Der Grund für die Sicherheitslinien besteht darin, dass wir für die Autofahrer leichter zu sehen sind."
Sg1_6,"그리고 혹시라도 너무 앞으로 나가면,차와 부딪힐 위험이 있기 때문이야.","And if you go too far forward, you run the risk of hitting a car.",また、あまり前に進みすぎると、車に衝突する危険があります。,如果你走得太远，就会有撞到汽车的危险。,"Et si vous avancez trop, vous courez le risque de heurter une voiture.",और यदि आप बहुत आगे चले जाएं तो कार से टकराने का खतरा रहता है।,"А если вы проедете слишком далеко вперед, вы рискуете столкнуться с автомобилем.","Und wer zu weit nach vorne fährt, läuft Gefahr, mit einem Auto zusammenzustoßen."
Sg1_7,"봐봐,저렇게 너무 앞으로 나가 있으면…","Look, if you go too far forward like that…",ほら、そんなに前に出過ぎたら…,瞧，如果你这样走得太远的话……,"Écoute, si tu vas trop loin comme ça…","देखो, अगर तुम इस तरह बहुत आगे चले गए...","Послушайте, если вы зайдете слишком далеко вперед…","Schauen Sie, wenn Sie so zu weit nach vorne gehen …"
Sg1_8,차가 오다가 진짜 부딪힐 수도 있어!,A car might actually hit you if it comes!,車が来たら本当にぶつかるかもしれませんよ！,如果汽车来了，它可能会撞到你！,Une voiture pourrait bien vous percuter si elle arrive !,यदि कोई कार आपके पास आए तो वह आपको टक्कर मार सकती है!,"Если машина подъедет, она действительно может вас сбить!","Es könnte tatsächlich passieren, dass Sie von einem Auto angefahren werden, wenn es kommt!"
Sg1_9,"그럼,어떻게 해야 안전한지 같이 한번 볼까?","Well then, let's take a look at how to be safe.",それでは、安全を確保する方法を見てみましょう。,那么，让我们看看如何确保安全。,"Eh bien, voyons comment être en sécurité.",तो फिर आइये देखें कि कैसे सुरक्षित रहा जाए।,"Ну что ж, давайте посмотрим, как обезопасить себя.","Schauen wir uns also an, wie wir uns schützen können."
Sg1_10,"봐봐,이 친구는 노란선 안쪽에서 잘 기다리고 있어!","Look, this guy is waiting just inside the yellow line!",見て、この男は黄色い線のすぐ内側で待っているよ！,看，这家伙就在黄线里面等着！,"Regardez, ce type attend juste à l’intérieur de la ligne jaune !","देखो, यह आदमी पीली लाइन के अन्दर इंतजार कर रहा है!","Смотри, этот парень ждет прямо за желтой линией!","Schauen Sie, dieser Typ wartet direkt hinter der gelben Linie!"
