Key,Korean(ko),English(en),French(fr),Russian(ru),German(de)
Sg1_1,괜찮아. 누구나 실수할 수 있는 거야.,It's okay. Anyone can make mistakes.,Ce n'est pas grave. Tout le monde peut faire des erreurs.,Ничего страшного. Каждый может ошибаться.,Es ist okay. Jeder kann Fehler machen.
Sg1_2,"방금 있었던 일이 왜 위험했는지, 같이 살펴보자!",Let's take a look together at why what just happened was dangerous!,Voyons ensemble pourquoi ce qui vient de se passer était dangereux !,"Давайте вместе разберемся, почему произошедшее было опасным!","Lassen Sie uns gemeinsam einen Blick darauf werfen, warum das, was gerade passiert ist, gefährlich war!"
Sg1_3,"방금 행동이 위험했던 건, 네가 노란선을 지나쳤기 때문이야.",The reason your actions were dangerous just now was because you crossed the yellow line.,La raison pour laquelle vos actions étaient dangereuses à l’instant était que vous aviez franchi la ligne jaune.,"Причина, по которой ваши действия были опасными, заключалась в том, что вы пересекли желтую линию.","Der Grund, warum Ihr Handeln gerade gefährlich war, lag darin, dass Sie die gelbe Linie überquert haben."
Sg1_4,그 선은 멈추라는 표시야. 무시하면 진짜 큰 사고로 이어질 수도 있어.,That line is a stop sign. Ignoring it could lead to a really big accident.,Cette ligne est un panneau stop. L'ignorer pourrait entraîner un grave accident.,Эта линия — знак «стоп». Игнорирование ее может привести к очень большой аварии.,Diese Linie ist ein Stoppschild. Das Ignorieren dieser Linie kann zu einem schweren Unfall führen.
Sg1_5,"안전선이 있는 이유는,운전자들이 우리를 더 쉽게 볼 수 있도록 하기 위해서야.",The reason there are safety lines is to make it easier for drivers to see us.,La raison pour laquelle il y a des lignes de sécurité est de permettre aux conducteurs de nous voir plus facilement.,"Причина установки линий безопасности в том, что водителям легче нас заметить.","Der Grund für die Sicherheitslinien besteht darin, dass wir für die Autofahrer leichter zu sehen sind."
Sg1_6,"그리고 혹시라도 너무 앞으로 나가면,차와 부딪힐 위험이 있기 때문이야.","And if you go too far forward, you run the risk of hitting a car.","Et si vous avancez trop, vous courez le risque de heurter une voiture.","А если вы проедете слишком далеко вперед, вы рискуете столкнуться с автомобилем.","Und wer zu weit nach vorne fährt, läuft Gefahr, mit einem Auto zusammenzustoßen."
Sg1_7,"봐봐,저렇게 너무 앞으로 나가 있으면…","Look, if you go too far forward like that…","Écoute, si tu vas trop loin comme ça…","Послушайте, если вы зайдете слишком далеко вперед…","Schauen Sie, wenn Sie so zu weit nach vorne gehen …"
Sg1_8,차가 오다가 진짜 부딪힐 수도 있어!,A car might actually hit you if it comes!,Une voiture pourrait bien vous percuter si elle arrive !,"Если машина подъедет, она действительно может вас сбить!","Es könnte tatsächlich passieren, dass Sie von einem Auto angefahren werden, wenn es kommt!"
Sg1_9,"그럼,어떻게 해야 안전한지 같이 한번 볼까?","Well then, let's take a look at how to be safe.","Eh bien, voyons comment être en sécurité.","Ну что ж, давайте посмотрим, как обезопасить себя.","Schauen wir uns also an, wie wir uns schützen können."
Sg1_10,"봐봐,이 친구는 노란선 안쪽에서 잘 기다리고 있어!","Look, this guy is waiting just inside the yellow line!","Regardez, ce type attend juste à l’intérieur de la ligne jaune !","Смотри, этот парень ждет прямо за желтой линией!","Schauen Sie, dieser Typ wartet direkt hinter der gelben Linie!"
Sg1_11,"이런 식으로 하면,운전자도 너를 잘 볼 수 있어서 훨씬 더 안전해!","This way, the driver can see you better, so it's much safer!","De cette façon, le conducteur peut mieux vous voir, c'est donc beaucoup plus sûr !","Так водитель сможет вас лучше видеть, а значит, это намного безопаснее!",Auf diese Weise kann der Fahrer Sie besser sehen und es ist viel sicherer!
Sg1_12,어때? 이제 어떻게 하면 좋은지 알겠지?,"How is it? Now you know what to do, right?","Comment ça va ? Maintenant, tu sais quoi faire, n'est-ce pas ?","Ну как? Теперь ты знаешь, что делать, да?","Wie ist es? Jetzt weißt du, was zu tun ist, oder?"
Sg1_13,다시 한번 도로로 돌아가서 다시 도전하자!,Let's get back on the road and try again!,Reprenons la route et essayons à nouveau !,Давайте вернемся на дорогу и попробуем еще раз!,Lasst uns zurück auf die Straße gehen und es noch einmal versuchen!
Sg4_1,괜찮아. 누구나 실수할 수 있는 거야.,It's okay. Anyone can make mistakes.,Ce n'est pas grave. Tout le monde peut faire des erreurs.,Ничего страшного. Каждый может ошибаться.,Es ist okay. Jeder kann Fehler machen.
Sg4_2,"방금 있었던 일이 왜 위험했는지,같이 살펴보자!",Let's take a look at why what just happened was dangerous!,Voyons pourquoi ce qui vient de se passer était dangereux !,"Давайте разберемся, почему произошедшее было опасным!","Schauen wir uns an, warum das, was gerade passiert ist, gefährlich war!"
Sg4_3,아까 넌 초록불이 깜빡이기 시작했을 때 건너기 시작했지?,"You started crossing when the green light started blinking, right?","Vous avez commencé à traverser lorsque le feu vert a commencé à clignoter, n'est-ce pas ?","Вы начали переходить дорогу, когда замигал зеленый свет, верно?","Sie haben mit dem Überqueren begonnen, als die grüne Ampel zu blinken begann, richtig?"
Sg4_4,"그때는 곧 신호가 바뀐다는 뜻이라서,건너기엔 너무 위험한 순간이야.","At that moment, it is too dangerous to cross because it means the signal will change soon.","À ce moment-là, il est trop dangereux de traverser car cela signifie que le signal va bientôt changer.","В этот момент переходить дорогу слишком опасно, поскольку это означает, что сигнал светофора скоро сменится.","In diesem Moment ist es zu gefährlich, die Straße zu überqueren, da dies bedeutet, dass die Ampel bald umschaltet."
Sg4_5,초록불이 깜빡이면 곧 빨간불로 바뀐다는 뜻이야.,"If the green light is blinking, it means it will soon turn red.","Si le voyant vert clignote, cela signifie qu'il deviendra bientôt rouge.","Если мигает зеленый свет, значит, скоро он станет красным.","Wenn das grüne Licht blinkt, bedeutet dies, dass es bald rot wird."
Sg4_6,"이때 건너면, 길 한가운데에 멈춰 있게 될 수도 있고,차가 달려올 수도 있어.","If you cross at this time, you may end up stopped in the middle of the road, or a car may come running.","Si vous traversez à ce moment-là, vous risquez de vous retrouver arrêté au milieu de la route ou une voiture pourrait arriver en trombe.","Если вы переходите дорогу в это время, вы можете оказаться остановившимся посреди дороги, или на вас может выскочить машина.","Wenn Sie zu diesem Zeitpunkt die Straße überqueren, bleiben Sie möglicherweise mitten auf der Straße stehen oder es kommt ein Auto angerannt."
Sg4_7,"봐봐,지금 깜빡이는데도 그냥 건너면....","Look, it's blinking right now, but if you just cross it...","Regardez, ça clignote en ce moment, mais si vous le traversez...","Смотри, он сейчас мигает, но если ты просто его пересечешь...","Schauen Sie, es blinkt gerade, aber wenn Sie es einfach überqueren ..."
Sg4_8,아아! 이럴 줄 알았어!,Ahh! I knew it!,Ahh ! Je le savais !,Ах! Я так и знал!,Ahh! Ich wusste es!
Sg4_9,지키지 않으면 저런 상황이 나올 거야! 그러니까 꼭 지켜야 해! 그래야 진짜 안전해,"If you don't follow the rules, that kind of situation will happen! So you have to follow them! That's the only way to be truly safe.","Si vous ne respectez pas les règles, ce genre de situation arrivera ! Alors, respectez-les ! C'est la seule façon d'être vraiment en sécurité.","Если вы не будете следовать правилам, то такая ситуация будет происходить! Поэтому вам придется их соблюдать! Это единственный способ быть по-настоящему в безопасности.","Wenn du dich nicht an die Regeln hältst, kann es zu solchen Situationen kommen! Halte dich also unbedingt an sie! Nur so bist du wirklich sicher."
Sg4_10,"그럼,이제 어떻게 하면 되는지 같이 볼까?","Well then, shall we see what to do now?","Bon, alors, voyons ce qu’il faut faire maintenant ?","Ну что ж, посмотрим, что теперь делать?","Na, wollen wir mal sehen, was wir jetzt tun?"
Sg4_11,이 친구는 깜빡일 땐 멈추고 다음 신호까지 기다리는거 보이지?,Can you see this guy stopping when the light flashes and waiting until the next signal?,Pouvez-vous voir ce type s’arrêter lorsque le feu clignote et attendre le prochain signal ?,"Видите ли вы этого парня, который останавливается, когда мигает свет, и ждет следующего сигнала?","Können Sie sich vorstellen, dass dieser Typ anhält, wenn die Ampel blinkt, und auf das nächste Signal wartet?"
Sg4_12,"이렇게 기다렸다가 건너면,안전하게 길을 건널 수 있어!","If you wait like this and then cross, you can cross the road safely!","Si vous attendez comme ça et que vous traversez ensuite, vous pouvez traverser la route en toute sécurité !","Если вы подождете вот так, а затем перейдете дорогу, вы сможете перейти ее безопасно!","Wenn Sie so warten und dann überqueren, können Sie die Straße sicher überqueren!"
Sg4_13,어때? 이제 어떻게 하면 좋은지 알겠지?,"How is it? Now you know what to do, right?","Comment ça va ? Maintenant, tu sais quoi faire, n'est-ce pas ?","Ну как? Теперь ты знаешь, что делать, да?","Wie ist es? Jetzt weißt du, was zu tun ist, oder?"
Sg4_14,다시 한번 도로로 돌아가서 다시 도전하자!,Let's get back on the road and try again!,Reprenons la route et essayons à nouveau !,Давайте вернемся на дорогу и попробуем еще раз!,Lasst uns zurück auf die Straße gehen und es noch einmal versuchen!
Sg5_1,괜찮아. 누구나 실수할 수 있는 거야.,It's okay. Anyone can make mistakes.,Ce n'est pas grave. Tout le monde peut faire des erreurs.,Ничего страшного. Каждый может ошибаться.,Es ist okay. Jeder kann Fehler machen.
Sg5_2,"방금 있었던 일이 왜 위험했는지,같이 살펴보자!",Let's take a look at why what just happened was dangerous!,Voyons pourquoi ce qui vient de se passer était dangereux !,"Давайте разберемся, почему произошедшее было опасным!","Schauen wir uns an, warum das, was gerade passiert ist, gefährlich war!"
Sg5_3,"방금,횡단보도에서 건너다가 중간에 갑자기 멈췄지?","Just now, you were crossing the street and suddenly stopped in the middle of the street?","Tout à l'heure, vous traversiez la rue et vous vous êtes soudainement arrêté au milieu de la rue ?",Только что вы переходили улицу и внезапно остановились посреди дороги?,Sie sind gerade über die Straße gegangen und plötzlich mitten auf der Straße stehen geblieben?
Sg5_4,네가 걷는다고 생각하고 모두가 기다리고 있었는데,Everyone was waiting for you to walk,Tout le monde attendait que tu marches,"Все ждали, когда ты пойдешь.","Alle haben darauf gewartet, dass du gehst"
Sg5_5,갑자기 멈추면 주변이 혼란스러워질 수 있어.,"If you stop suddenly, the surroundings may become chaotic.","Si vous vous arrêtez brusquement, l’environnement peut devenir chaotique.","Если вы резко остановитесь, вокруг может начаться хаос.","Wenn Sie plötzlich anhalten, kann die Umgebung chaotisch werden."
Sg5_6,도로는 그냥 서 있기엔 너무 위험한 곳이야.,The road is too dangerous to just stand there.,La route est trop dangereuse pour rester là.,"Дорога слишком опасна, чтобы просто стоять там.","Die Straße ist zu gefährlich, um einfach nur dort zu stehen."
Sg5_7,차는 네가 계속 걷는다고 생각하고 멈춰 있었는데,The car stopped because it thought you were going to keep walking.,La voiture s'est arrêtée parce qu'elle pensait que tu allais continuer à marcher.,"Машина остановилась, потому что подумала, что вы пойдете дальше.","Das Auto hat angehalten, weil es dachte, Sie würden weiterlaufen."
Sg5_8,"멈춰버리면,차도 그렇고 뒤따라오는 사람들도 ‘어? 왜 멈췄지?’ 하고 당황할 수 있어.","If you stop, the car and the people following behind you may be confused and ask, ""Huh? Why did you stop?""","Si vous vous arrêtez, la voiture et les personnes qui vous suivent pourraient être confuses et demander : « Hein ? Pourquoi vous êtes-vous arrêté ? »","Если вы остановитесь, машина и люди, идущие за вами, могут растеряться и спросить: «А? Почему вы остановились?»","Wenn Sie anhalten, sind das Auto und die Leute hinter Ihnen möglicherweise verwirrt und fragen: „Hä? Warum haben Sie angehalten?“"
Sg5_9,"그렇게 흐름이 엉키면,더 위험한 상황이 생길 수 있어.","If the flow gets tangled like that, a more dangerous situation can arise.","Si le flux s’emmêle de cette façon, une situation plus dangereuse peut survenir.","Если поток запутается подобным образом, может возникнуть более опасная ситуация.","Wenn der Fluss auf diese Weise durcheinander gerät, kann eine gefährlichere Situation entstehen."
Sg5_10,"그래서 도로 위에서는,멈추지 않고 쭉 걷는 게 가장 안전한 거야.","So, on the road, the safest thing to do is to just keep walking without stopping.","Donc, sur la route, la chose la plus sûre à faire est de continuer à marcher sans s’arrêter.","Поэтому на дороге самое безопасное — просто продолжать идти, не останавливаясь.","Auf der Straße ist es am sichersten, einfach weiterzugehen, ohne anzuhalten."
Sg5_11,"방금처럼 갑자기 멈추면,뒤에 오는 사람도 놀라서 다칠 수 있어.","If you stop suddenly like you just did, people behind you could be surprised and get hurt.","Si vous vous arrêtez brusquement comme vous venez de le faire, les personnes derrière vous pourraient être surprises et se blesser.","Если вы резко остановитесь, как только что, люди позади вас могут быть удивлены и получить травмы.","Wenn Sie so plötzlich anhalten, wie Sie es gerade getan haben, könnten die Leute hinter Ihnen überrascht werden und verletzt werden."
